,Stint,Vuelta,PitIn,TiempoParadaAc,TiempoStint,Vueltas,Piloto,TiempoPilotoAc,TiempoParada,PitOut,NumEquipo,Equipo
87,19,1175,82010.0,2876.0,604.0,9,JON DEL VALLE,25469.0,151.26399993896484,82161.0,4,CVKS PATRINI
88,20,1184,82772.0,3028.0,610.0,9,JON DEL VALLE,26080.0,151.4650001525879,82923.0,4,CVKS PATRINI
89,21,1203,84197.0,3179.0,1273.0,19,JON DEL VALLE,27353.0,151.13500022888184,84348.0,4,CVKS PATRINI
90,22,1215,85164.0,3330.0,815.0,12,JON DEL VALLE,28169.0,151.48800086975098,85315.0,4,CVKS PATRINI
91,23,1232,86405.0,0.0,1090.0,17,JON DEL VALLE,29259.0,0.0,0.0,4,CVKS PATRINI
92,1,44,3131.0,151.0,3131.0,44,ALBERTO QUEVEDO GORDON,3131.0,151.35400009155273,3282.0,5,CVKS COBRA KAI
93,2,150,10497.0,305.0,7214.0,106,JULIAN GARRIDO JUMILLA,7214.0,154.61399841308594,10651.0,5,CVKS COBRA KAI
94,3,163,11562.0,457.0,910.0,13,FERNANDO PEDRERA,910.0,151.46100044250488,11713.0,5,CVKS COBRA KAI
95,4,206,14696.0,610.0,2982.0,43,FERNANDO PEDRERA,3892.0,152.86999893188477,14849.0,5,CVKS COBRA KAI
96,5,265,18967.0,762.0,4117.0,59,ALBERTO QUEVEDO SARMIENTO,0.0,152.3300018310547,19119.0,5,CVKS COBRA KAI
97,6,309,22168.0,914.0,3049.0,44,ALBERTO QUEVEDO GORDON,6180.0,151.4689998626709,22320.0,5,CVKS COBRA KAI
98,7,425,30173.0,1067.0,7852.0,116,JULIAN GARRIDO JUMILLA,15067.0,153.2050018310547,30326.0,5,CVKS COBRA KAI
99,8,479,34057.0,1220.0,3731.0,54,FERNANDO PEDRERA,7624.0,153.14899826049805,34210.0,5,CVKS COBRA KAI
100,9,526,37468.0,1372.0,3257.0,47,ALBERTO QUEVEDO SARMIENTO,0.0,152.13700103759766,37620.0,5,CVKS COBRA KAI
101,10,537,38386.0,1524.0,766.0,11,ALBERTO QUEVEDO GORDON,6947.0,151.51799964904785,38538.0,5,CVKS COBRA KAI
102,11,594,42473.0,1675.0,3935.0,57,ALBERTO QUEVEDO GORDON,10882.0,151.16200065612793,42625.0,5,CVKS COBRA KAI
103,12,689,49047.0,1827.0,6422.0,95,JULIAN GARRIDO JUMILLA,21490.0,151.9689998626709,49199.0,5,CVKS COBRA KAI
104,13,700,49966.0,1979.0,766.0,11,FERNANDO PEDRERA,8391.0,152.28200149536133,50119.0,5,CVKS COBRA KAI
105,14,778,55465.0,2131.0,5346.0,78,FERNANDO PEDRERA,13737.0,151.5,55617.0,5,CVKS COBRA KAI
106,15,818,58376.0,2282.0,2759.0,40,FERNANDO PEDRERA,16497.0,151.80599975585938,58528.0,5,CVKS COBRA KAI
107,16,931,66274.0,2434.0,7746.0,113,ALBERTO QUEVEDO SARMIENTO,0.0,151.503999710083,66426.0,5,CVKS COBRA KAI
108,17,996,70876.0,2585.0,4450.0,65,ALBERTO QUEVEDO GORDON,15333.0,151.34900093078613,71027.0,5,CVKS COBRA KAI
109,18,1044,74266.0,2737.0,3238.0,48,JULIAN GARRIDO JUMILLA,24729.0,151.70800018310547,74418.0,5,CVKS COBRA KAI
110,19,1098,78121.0,2889.0,3703.0,54,ALBERTO QUEVEDO SARMIENTO,0.0,152.40499877929688,78274.0,5,CVKS COBRA KAI
111,20,1133,80667.0,3041.0,2393.0,35,FERNANDO PEDRERA,18890.0,151.68499946594238,80818.0,5,CVKS COBRA KAI
112,21,1157,82475.0,3192.0,1656.0,24,ALBERTO QUEVEDO GORDON,16989.0,151.38999938964844,82627.0,5,CVKS COBRA KAI
113,22,1183,84426.0,3344.0,1799.0,26,ALBERTO QUEVEDO GORDON,18789.0,151.27400016784668,84577.0,5,CVKS COBRA KAI
114,23,1211,86441.0,0.0,1863.0,28,JULIAN GARRIDO JUMILLA,26592.0,0.0,0.0,5,CVKS COBRA KAI
115,1,104,7097.0,154.0,7097.0,104,DIEGO PEREZ,7097.0,154.67200088500977,7252.0,6,HISPANO ALEMAN RACING TEAM
116,2,124,8617.0,306.0,1365.0,20,SAMUEL GARCIA,1365.0,152.29000091552734,8770.0,6,HISPANO ALEMAN RACING TEAM
117,3,222,15454.0,458.0,6684.0,98,SAMUEL GARCIA,8050.0,151.35700035095215,15606.0,6,HISPANO ALEMAN RACING TEAM
118,4,315,21931.0,609.0,6325.0,93,JAVIER FERNANDEZ,6325.0,151.3090000152588,22082.0,6,HISPANO ALEMAN RACING TEAM
119,5,334,23386.0,761.0,1303.0,19,AITOR RINCON,1303.0,151.48699951171875,23538.0,6,HISPANO ALEMAN RACING TEAM
120,6,388,27209.0,912.0,3671.0,54,AITOR RINCON,4975.0,151.25799942016602,27360.0,6,HISPANO ALEMAN RACING TEAM
121,7,504,35161.0,1063.0,7800.0,116,DIEGO PEREZ,14897.0,150.90900039672852,35312.0,6,HISPANO ALEMAN RACING TEAM
122,8,523,36608.0,1214.0,1296.0,19,SAMUEL GARCIA,9347.0,150.77099990844727,36759.0,6,HISPANO ALEMAN RACING TEAM
123,9,573,40177.0,1365.0,3417.0,50,SAMUEL GARCIA,12765.0,151.07900047302246,40328.0,6,HISPANO ALEMAN RACING TEAM
124,10,583,41015.0,1516.0,686.0,10,JAVIER FERNANDEZ,7012.0,151.00699996948242,41166.0,6,HISPANO ALEMAN RACING TEAM
125,11,684,47990.0,1666.0,6824.0,101,JAVIER FERNANDEZ,13836.0,150.83600044250488,48141.0,6,HISPANO ALEMAN RACING TEAM
